Air Velocity;Indoor Temperature;Indoor Relative Humidity
0,06326957;27,23580551;79,47531035
0,069445987;27,36255836;78,9257389
0,073298265;27,41722488;78,6895167
0,074686581;27,41023827;78,71968004
0,075500406;27,36682892;78,90726783
0,074907027;27,30933189;79,1562013
0,076300226;27,27347946;79,3116942
0,073432646;27,16589165;79,77954912
0,07317739;27,06567955;80,21700855
0,045417171;26,88428879;81,0129571
0,072934487;26,76381302;81,54453993
0,072879177;26,58500671;82,33781147
0,073765509;26,42234039;83,06395519
0,070580765;26,21624947;83,99007207
0,006928729;29,06270981;71,8046148
0,006258155;29,27113152;70,96369731
0,006187714;29,36915398;70,57062793
0,005734322;29,37257004;70,55695749
0,005452528;29,31912804;70,77103807
0,005389288;29,24583054;71,06540555
0,004612561;29,15629959;71,42614261
0,004840085;29,03368759;71,92226595
0,00477427;28,91316605;72,41229251
0,005663137;28,75059319;73,07700432
0,005030679;28,57213211;73,81158374
0,005300849;28,34772491;74,74257281
0,005624446;28,11712074;75,70772815
0,00590767;27,80465698;77,02917011
0,039209602;29,96601868;68,21063381
0,008550413;29,75589371;69,03491496
0,007353396;29,81794548;68,79075684
0,006696778;29,80457878;68,843299
0,006253254;29,74325752;69,08471126
0,006196255;29,66739464;69,38421043
0,005478364;29,57254219;69,75998369
0,005929312;29,44349098;70,27356979
0,005824792;29,31760979;70,77712668
0,006508994;29,15040016;71,4499579
0,006192893;28,96602821;72,19707284
0,006692093;28,73322678;73,14826225
0,007252148;28,49128532;74,14605407
0,007283319;28,15910912;75,53135445
0;20;99
0,008710582;30,30748558;66,88630376
0,007388709;30,24643707;67,12169179
0,006834481;30,19704819;67,31256278
0,0063168;30,12066269;67,60854074
0,006145377;30,0407486;67,91919799
0,005719357;29,94568825;68,2900753
0,005998018;29,81478882;68,80316252
0,005909871;29,68027115;69,33330987
0,006212237;29,49919319;70,05156196
0,006147573;29,30212021;70,83926545
0,006700568;29,05426025;71,83885387
0,007280589;28,79564667;72,89236736
0,00725896;28,44932938;74,32004478
0;20;99
0,007170045;30,71861839;65,31672367
0,006350751;30,59221649;65,79638686
0,006109683;30,51126099;66,10494549
0,005710517;30,41710663;66,46513992
0,005383176;30,33171654;66,7930417
0,004803127;30,25507545;67,08834783
0,004973947;30,13391304;67,55713095
0,004652803;29,98821831;68,12396449
0,004920418;29,76800919;68,98719483
0,005079543;29,54550552;69,86735943
0,005644021;29,281353;70,92263691
0,006424467;28,99427414;72,0822588
0,00639535;28,64836502;73,4971666
0;20,00000572;99
0,007064716;31,11709404;63,82146707
0,005957394;31,0384903;64,11439648
0,005891073;30,94650459;64,45846069
0,005634422;30,82950401;64,89806156
0,005742693;30,72042847;65,30987358
0,004527238;30,58791351;65,81276091
0,004949566;30,44377899;66,36295777
0,004833835;30,31164742;66,87027861
0,007154147;30,12782288;67,58075654
0,006318372;29,88820457;68,51505425
0,006614632;29,56580734;69,78672003
0,00671459;29,24055862;71,08661131
0,00606038;28,8299427;72,75203564
0;20;99
0,006945776;31,48131371;62,4771438
0,006303509;31,38462639;62,83192876
0,006227007;31,28808594;63,18767833
0,005740478;31,16171837;63,65561059
0,005402126;31,04243279;64,09968044
0,004289238;30,90300751;64,62163257
0,004690821;30,7314682;65,26810612
0,004744648;30,57228279;65,87226532
0,005909088;30,35077286;66,71976269
0,005551403;30,08463287;67,74847527
0,005980258;29,7393322;69,10018527
0,006189161;29,39879417;70,45207596
0,006063056;28,98526764;72,11885445
0;20;99
0,006812925;31,77736664;61,40017715
0,006389069;31,66795158;61,79655589
0,006247573;31,55693626;62,20070428
0,00550048;31,41355515;62,72561943
0,004989896;31,28114319;63,21332013
0,00417253;31,12828636;63,77983811
0,004494593;30,93287086;64,50957249
0,004573911;30,73997688;65,23592798
0,005093777;30,47771263;66,23312333
0,005004625;30,18788147;67,34803225
0,005475078;29,82895088;68,74751817
0,005806353;29,48460197;70,10966867
